Country,Age,Height_cm,Weight_kg,Sex,Weight_in_Words
USA,29,183.1,78.7,Male,seventy-eight
USA,58,188.3,93.6,Female,ninety-three
USA,57,170,112,Male,one hundred and twelve
USA,24,194.4,93.8,Male,ninety-three
USA,49,185.5,113.5,Female,one hundred and thirteen
USA,49,167.4,96.6,Male,ninety-six
USA,30,176.8,107.4,Female,one hundred and seven
USA,63,168.8,80,Male,eighty
USA,41,162.5,71.3,Male,seventy-one
USA,18,175.6,119.3,Female,one hundred and nineteen
USA,30,187.6,85.1,Female,eighty-five
USA,27,167.8,97.6,Male,ninety-seven
USA,22,170.8,112.5,Female,one hundred and twelve
USA,51,164.9,94.9,Male,ninety-four
USA,22,185.5,99,Female,ninety-nine
USA,34,188.1,86.6,Male,eighty-six
USA,51,188.6,113.6,Male,one hundred and thirteen
USA,49,173,101.2,Female,one hundred and one
USA,45,169.2,103.7,Male,one hundred and three
USA,57,164.6,61,Female,sixty-one
USA,51,188.9,73.7,Male,seventy-three
USA,18,166.5,73.4,Female,seventy-three
USA,36,190.6,93.3,Male,ninety-three
USA,58,174.5,60.8,Female,sixty
USA,32,165.1,60.9,Female,sixty
USA,24,166.7,89.9,Female,eighty-nine
USA,42,160.9,76.1,Female,seventy-six
USA,30,162,76,Male,seventy-six
USA,28,162.1,107.8,Male,one hundred and seven
USA,63,190.8,71.2,Female,seventy-one
USA,31,192,56.8,Female,fifty-six
USA,18,164.2,55.4,Male,fifty-five
USA,56,163.4,107.3,Female,one hundred and seven
USA,31,185.7,109.8,Male,one hundred and nine
USA,24,192.9,78,Male,seventy-eight
USA,24,192.7,70.4,Female,seventy
USA,45,177.3,56.1,Male,fifty-six
USA,57,182.5,92.7,Female,ninety-two
USA,53,165.6,94.4,Female,ninety-four
USA,52,194.1,67.3,Male,sixty-seven
USA,50,180.6,111.1,Male,one hundred and eleven
USA,32,164.3,81.1,Female,eighty-one
USA,65,186.5,71.4,Male,seventy-one
USA,63,183.2,102,Male,one hundred and two
USA,21,192.3,94.3,Male,ninety-four
USA,52,193.7,73.9,Male,seventy-three
USA,41,179.5,68.1,Female,sixty-eight
USA,59,184.8,71.3,Male,seventy-one
USA,38,186,107.1,Male,one hundred and seven
USA,35,183.2,99.1,Male,ninety-nine
USA,26,174.4,75.6,Female,seventy-five
USA,50,160.6,100.5,Male,one hundred
USA,54,163.4,115.7,Female,one hundred and fifteen
USA,49,164.2,111,Male,one hundred and eleven
USA,59,160.3,93.7,Female,ninety-three
USA,47,184.4,116.2,Female,one hundred and sixteen
USA,24,191.5,74.2,Female,seventy-four
USA,60,170.8,97.8,Female,ninety-seven
USA,49,162.4,69,Male,sixty-nine
USA,57,170,95.1,Male,ninety-five
USA,40,171.3,100.3,Male,one hundred
USA,46,188.7,95.7,Male,ninety-five
USA,29,175,101.9,Female,one hundred and one
USA,32,179.9,107.7,Male,one hundred and seven
USA,47,186.8,63.5,Female,sixty-three
USA,65,174.7,112.1,Male,one hundred and twelve
USA,25,160.9,90,Male,ninety
USA,21,176.7,57.7,Female,fifty-seven
USA,65,191.1,56.9,Male,fifty-six
USA,47,186.9,93.1,Female,ninety-three
USA,37,181.7,92.6,Male,ninety-two
USA,55,182.8,99.5,Female,ninety-nine
USA,19,169.9,75.4,Female,seventy-five
USA,59,185,108.6,Female,one hundred and eight
USA,45,185.2,111.3,Female,one hundred and eleven
USA,26,171.2,93.4,Female,ninety-three
USA,50,177.8,63.9,Female,sixty-three
USA,29,184.8,112.1,Female,one hundred and twelve
USA,52,186.3,112.1,Male,one hundred and twelve
USA,64,182.3,81.6,Male,eighty-one
USA,19,176.7,65.4,Female,sixty-five
USA,54,179.6,85.5,Female,eighty-five
USA,19,170.2,65.9,Female,sixty-five
USA,47,160.3,73.9,Male,seventy-three
USA,34,180.2,113.1,Female,one hundred and thirteen
USA,44,177.3,96.7,Female,ninety-six
USA,58,186.2,113.2,Female,one hundred and thirteen
USA,29,188.6,97.3,Female,ninety-seven
USA,31,186.1,90.8,Female,ninety
USA,63,163.4,98.8,Male,ninety-eight
USA,43,170.3,83,Female,eighty-three
USA,62,187.7,100.5,Female,one hundred
USA,56,165.2,109.1,Female,one hundred and nine
USA,43,171.8,108.1,Female,one hundred and eight
USA,44,188.4,81.9,Male,eighty-one
USA,50,181.4,107.8,Female,one hundred and seven
USA,34,183.4,88.5,Male,eighty-eight
USA,64,187.6,117.6,Male,one hundred and seventeen
USA,42,184.8,105.2,Male,one hundred and five
USA,23,184.2,74.4,Male,seventy-four
Algeria,37,175.5,88.1,Male,eighty-eight
Algeria,33,173.1,91.9,Female,ninety-one
Algeria,48,161.5,78.1,Male,seventy-eight
Algeria,43,155.8,73.5,Female,seventy-three
Algeria,59,167.9,63,Female,sixty-three
Algeria,19,178,55.3,Male,fifty-five
Algeria,41,173.5,69,Male,sixty-nine
Algeria,39,164.1,89.2,Male,eighty-nine
Algeria,49,159,59.8,Female,fifty-nine
Algeria,20,180.6,70.8,Female,seventy
Algeria,31,171,53.5,Male,fifty-three
Algeria,29,178.7,74.3,Female,seventy-four
Algeria,25,182.8,55,Female,fifty-five
Algeria,22,168.8,78.4,Male,seventy-eight
Algeria,60,167.1,91.7,Female,ninety-one
Algeria,57,175.3,52.6,Male,fifty-two
Algeria,59,164.5,80.6,Female,eighty
Algeria,61,157.3,64.1,Male,sixty-four
Algeria,60,163.6,80.9,Male,eighty
Algeria,26,181.6,58.2,Female,fifty-eight
Algeria,27,156.7,74.2,Male,seventy-four
Algeria,59,165.6,60.2,Male,sixty
Algeria,59,173.6,83.4,Female,eighty-three
Algeria,45,165.6,65.1,Female,sixty-five
Algeria,60,163.1,76.2,Male,seventy-six
Algeria,48,182.1,66,Male,sixty-six
Algeria,58,182.8,64.1,Female,sixty-four
Algeria,30,171.6,65.5,Female,sixty-five
Algeria,18,162,80.4,Female,eighty
Algeria,32,161.1,76.5,Male,seventy-six
Algeria,40,183.5,72,Female,seventy-two
Algeria,44,161.9,51.6,Male,fifty-one
Algeria,25,182.4,53.4,Male,fifty-three
Algeria,25,162.9,66,Male,sixty-six
Algeria,28,180.4,76.8,Male,seventy-six
